web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,Harga_produk
"1707541639-1","https://www.klikindomaret.com/category/sarapan","Uray Madu Stick 10X12G","51%
Rp 21.200","Rp 10.400"
"1707541639-2","https://www.klikindomaret.com/category/sarapan","Bella Spread Choco Cashew 300G","48%
Rp 28.900","Rp 14.900"
"1707541639-3","https://www.klikindomaret.com/category/sarapan","Al Shifa Natural Honey 250G","39%
Rp 65.000","Rp 39.900"
"1707541639-4","https://www.klikindomaret.com/category/sarapan","Puck Cream Cheese Spread 140G","29%
Rp 31.500","Rp 22.500"
"1707541639-5","https://www.klikindomaret.com/category/sarapan","Flora Madu Tropis 350Ml","26%
Rp 58.600","Rp 43.600"
"1707541639-6","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Masuk Angin 140G","24%
Rp 20.900","Rp 15.900"
"1707541639-7","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Kecil Hazelnut 200G","23%
Rp 42.900","Rp 32.900"
"1707541639-8","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Choco Hazelnut 200G","21%
Rp 31.600","Rp 24.900"
"1707541639-9","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kacang Hijau 10X35G","20%
Rp 23.500","Rp 18.900"
"1707541639-10","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 10X34g","20%
Rp 23.500","Rp 18.900"
"1707541639-11","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Vanila 10X32g","20%
Rp 23.500","Rp 18.900"
"1707541639-12","https://www.klikindomaret.com/category/sarapan","Energen Cereal & Susu Instant Vanilla 5X32G","17%
Rp 11.500","Rp 9.500"
"1707541639-13","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 5X34g","17%
Rp 11.500","Rp 9.500"
"1707541639-14","https://www.klikindomaret.com/category/sarapan","Milo Cereal Balls Combo Pack Coklat 30G","15%
Rp 9.100","Rp 7.700"
"1707541639-15","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 150g","15%
Rp 23.300","Rp 19.900"
"1707541639-16","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Trix Honey Stars 150G","15%
Rp 23.200","Rp 19.800"
"1707541639-17","https://www.klikindomaret.com/category/sarapan","Quaker Instant Oatmeal (Reff) Merah 200G","14%
Rp 14.500","Rp 12.500"
"1707541639-18","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Pineapple 170G","10%
Rp 13.200","Rp 11.900"
"1707541639-19","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener 50X2.5G","10%
Rp 50.400","Rp 45.400"
"1707541639-20","https://www.klikindomaret.com/category/sarapan","Goldenfil Spread Choco Crunchy 350g","9%
Rp 33.400","Rp 30.400"
"1707541639-21","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Strawberry 170G","8%
Rp 15.100","Rp 13.900"
"1707541639-22","https://www.klikindomaret.com/category/sarapan","Diabetamil Sweetener 50G","7%
Rp 27.900","Rp 25.900"
"1707541639-23","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Cheese 60G","","Rp 7.000"
"1707541639-24","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Pandan Srikaya 60G","","Rp 7.000"
"1707541639-25","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Murni 150G","","Rp 22.200"
"1707541639-26","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Original 150G","","Rp 15.500"
"1707541639-27","https://www.klikindomaret.com/category/sarapan","Arnon Roti Kasur 180G","","Rp 11.000"
"1707541639-28","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis 5'S Cream Messes 200G","","Rp 16.000"
"1707541639-29","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Choco Roll","","Rp 7.000"
"1707541639-30","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Cream Meises 40G","","Rp 4.000"
"1707541639-31","https://www.klikindomaret.com/category/sarapan","Budy Jam Pindekas 120G","","Rp 16.900"
"1707541639-32","https://www.klikindomaret.com/category/sarapan","Budy Jam Selai Coklat 150G","","Rp 12.600"
"1707541639-33","https://www.klikindomaret.com/category/sarapan","Budy Jam Strawberry 150G","","Rp 10.200"
"1707541639-34","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Double Hazelnut 350G","","Rp 46.700"
"1707541639-35","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Duo Milk Hazelnut 350G","","Rp 46.700"
"1707541639-36","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 200G","","Rp 22.700"
"1707541639-37","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 80G","","Rp 10.300"
"1707541639-38","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Festive 80G","","Rp 10.300"
"1707541639-39","https://www.klikindomaret.com/category/sarapan","Champion Cereal Instant 4 In 1 10X30G","","Rp 23.500"
"1707541639-40","https://www.klikindomaret.com/category/sarapan","Diabetasol Zero Calorie Sweetener 50'S 50X1g","","Rp 42.300"
"1707541639-41","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kurma 10X30G","","Rp 26.000"
"1707541639-42","https://www.klikindomaret.com/category/sarapan","Fitbar Cheese Fitbar 20G","","Rp 5.400"
"1707541639-43","https://www.klikindomaret.com/category/sarapan","Fitbar Chocolate Fitbar 20G","","Rp 5.400"
"1707541639-44","https://www.klikindomaret.com/category/sarapan","Fitbar Fruit Fitbar Kismis Raspbery 20G","","Rp 5.400"
"1707541639-45","https://www.klikindomaret.com/category/sarapan","Fitbar Tiramisu Fitbar 20G","","Rp 5.400"
"1707541639-46","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meises 90G","","Rp 5.600"
"1707541639-47","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises 225g","","Rp 12.000"
"1707541639-48","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises Mix 90G","","Rp 5.600"
"1707541639-49","https://www.klikindomaret.com/category/sarapan","Indomaret Spread Chocolate 160G","","Rp 17.100"
"1707541639-50","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","","Rp 25.600"
